id,title,description,price,image,type
1,"HP Elite Desktop PC Computer","- Intels Quad-Core Processor, with Windows 10 Installed; Browse the web, stream video, and stay productive with lag-free professional grade multi-tasking.",189.99,"https://i.imgur.com/3XU36MD.jpg","computer"
2,"Alienware Aurora R15 Gaming Desktop","- POWERFUL GAMING PROCESSOR: Designed for gamers and creators with the new generation of Intel Core i9-13900F processor.",2799.99,"https://i.imgur.com/r4kYRc7.jpg","game"
3,"INSIGNIA 42-inch Class F20 Series Smart Full HD 1080p Fire TV.","- 1080p resolution View your favorite movies, shows and games in high definition. Alexa voice control.",159.99,"https://i.imgur.com/rb4gWs2.jpg","tv"
4,"Nintendo Switch™ with Neon Blue and Neon Red Joy‑Con™.","- 6.2” LCD screen Three play modes: TV tabletop and handheld Local co-op online and local wireless multiplayer Detachable Joy-Con controllers.",299.99,https://i.imgur.com/W91XSdZ.jpg,game
5,"Headphones Wireless Bluetooth 70 Hours Playtime Bluetooth Headphones with Microphone.","- Bluetooth headphones feature advanced dual 40mm dynamic sound units and 3 EQ modes designed for audiophiles",16.99,"https://i.imgur.com/tKn8L8M.jpg","electronics"
6,"SAMSUNG Galaxy S23+ Plus Cell Phone Factory Unlocked Android Smartphone.","- FASTEST MOBILE PROCESSOR AVAILABLE: Smoothly switch between apps with our fastest processor ever.",999.99,"https://i.imgur.com/iM6CFiS.jpg","phone"
7,"Canon EOS 850D / Creative Filter Set.","- Bundle Items Include: 1 x Canon EOS 850D DSLR Camera with 18-55mm Lens | 1 x SanDisk 64GB Extreme PRO UHS-I SDXC Memory Card.",939.99,https://i.imgur.com/iOhhZse.jpg,"camera"
8,"4K Video Camera Camcorder 48MP.","- This 2023 latest 4k Plus version camera adopts 6-Axis anti-shake technology to improve high-precision stabilization while shooting.",149.99,"https://i.imgur.com/fIs82gE.jpg","camera"
9,"DJI - Mini 3 Pro Drone and Remote Control with Built-in Screen (DJI RC)","- This mini-sized mega-capable DJI Mini 3 Pro is just as powerful as it is portable. Weighing less than 249 g and with upgraded safety features.",909.99,"https://i.imgur.com/rDEyXvi.jpg","electronics"
10,"Arlo - Pro 4 Spotlight Camera Security Bundle.","- Includes cloud recordings of video clips at 2K or lower resolution for 30 days. Renewal of an Arlo Secure plan is required to maintain Arlo Secure features.",279.99,"https://i.imgur.com/Rni8Ous.jpg","electronics"
11,"Microsoft Surface Pro 9, 13" Touch-Screen Intel Core i5, 16GB Memory.","- Blazing-fast Pro performance with 12th Gen Intel Core processors on select configurations and up to 15.5 hours of battery life.",1099.99,"https://i.imgur.com/QgExXVw.jpg","computer"
12,"Xbox Series X 1TB Console Diablo IV Bundle Black.","- Xbox Velocity Architecture Fight for the fate of Sanctuary with the fastest most powerful Xbox ever.",559,"https://i.imgur.com/SuXmQ3E.jpg","game"
